accession	accession_version	strain	published_clade
PP078955	PP078955.1	1091_GD/CHN_2015	
PP078956	PP078956.1	1660_GD/CHN_2015	
PP078957	PP078957.1	0394_GD/CHN_2015	
PP078958	PP078958.1	732_GD/CHN_2018	
PP078959	PP078959.1	540_GD/CHN_2016	
PP078960	PP078960.1	541_GD/CHN_2016	
PP078961	PP078961.1	1013_GD/CHN_2017	
PP078962	PP078962.1	485_GD/CHN_2018	
PP078963	PP078963.1	687_GD/CHN_2018	
PP078964	PP078964.1	207_GD/CHN_2020	
PP078965	PP078965.1	337_GD/CHN_2020	
PP078966	PP078966.1	123_GD/CHN_2021	
PP078967	PP078967.1	122_GD/CHN_2021	
PP078968	PP078968.1	494_GD/CHN_2020	
PP078969	PP078969.1	147_GD/CHN_2021	
PP078970	PP078970.1	148_GD/CHN_2021	
PP078971	PP078971.1	1155_GD/CHN_2019	
PP078972	PP078972.1	1417_GD/CHN_2019	
PP078973	PP078973.1	835_GD/CHN_2018	
PP078974	PP078974.1	593_GD/CHN_2018	
PP078975	PP078975.1	R673_GD/CHN_2018	
PP078976	PP078976.1	0388_GD/CHN_2019	
PP078977	PP078977.1	1123_GD/CHN_2017	
PP078978	PP078978.1	1340_GD/CHN_2017	
PP078979	PP078979.1	511_GD/CHN_2018	
PP078980	PP078980.1	790_GD/CHN_2018	
PP078981	PP078981.1	437_GD/CHN_2018	
PP078982	PP078982.1	451_GD/CHN_2018	
PP078983	PP078983.1	910_GD/CHN_2018	
PP078984	PP078984.1	449_GD/CHN_2018	
PP078985	PP078985.1	563_GD/CHN_2018	
PP078986	PP078986.1	763_GD/CHN_2018	
PP078987	PP078987.1	433_GD/CHN_2018	
PP078988	PP078988.1	772_GD/CHN_2018	
PP078989	PP078989.1	963_GD/CHN_2018	
PP078990	PP078990.1	617_GD/CHN_2018	
PP078991	PP078991.1	907_GD/CHN_2018	
PP078992	PP078992.1	487_GD/CHN_2018	
PP078993	PP078993.1	1402_GD/CHN_2019	
PP078994	PP078994.1	1430_GD/CHN_2019	
PP078995	PP078995.1	92_GD/CHN_2021	
PP078996	PP078996.1	293_GD/CHN_2020	
PP078997	PP078997.1	741_GD/CHN_2020	
PP078998	PP078998.1	0387_GD/CHN_2019	
PP078999	PP078999.1	773_GD/CHN_2020	
PP079000	PP079000.1	434_GD/CHN_2020	
PP079001	PP079001.1	81_GD/CHN_2021	
PP208912	PP208912.1	520_GD/CHN_2016	
PP208913	PP208913.1	560_GD/CHN_2018	
PP530551	PP530551.1	232330557HUCA	
PP530552	PP530552.1	232331694HUCA	
PP541443	PP541443.1	SPb_8558/21mi/TA/SPb/2023/RU	
PP585437	PP585437.1	PP585437	
PP585438	PP585438.1	PP585438	
PP585439	PP585439.1	PP585439	
PP585440	PP585440.1	PP585440	
PP585441	PP585441.1	PP585441	
PP585442	PP585442.1	PP585442	
PP585443	PP585443.1	PP585443	
PP585444	PP585444.1	PP585444	
PP585445	PP585445.1	PP585445	
PP585446	PP585446.1	PP585446	
PP585447	PP585447.1	PP585447	
PP585448	PP585448.1	PP585448	
PP585449	PP585449.1	PP585449	
PP585450	PP585450.1	PP585450	
PP585451	PP585451.1	PP585451	
PP585452	PP585452.1	PP585452	
PP596772	PP596772.1	A10/Hu/RU/Kurgan/2023/CV-A10/937_23	
PP596773	PP596773.1	A10/Hu/RU/Khanty-Mansiysk/2023/CV-A10/979_23	
PP596774	PP596774.1	A10/Hu/RU/Nizhny Tagil/2023/CV-A10/1460_23	
PP662654	PP662654.1	PP662654	
PP662655	PP662655.1	PP662655	
PP662656	PP662656.1	PP662656	
PP662657	PP662657.1	PP662657	
PP662658	PP662658.1	PP662658	
PP662659	PP662659.1	PP662659	
PP662660	PP662660.1	PP662660	
PP662661	PP662661.1	PP662661	
PP662662	PP662662.1	PP662662	
PP662663	PP662663.1	PP662663	
PP662664	PP662664.1	PP662664	
PP797300	PP797300.1	JX-CHN-CVA10-1	
PP797301	PP797301.1	JX-CHN-CVA10-2	
PP797302	PP797302.1	JX-CHN-CVA10-3	
PP797303	PP797303.1	JX-CHN-CVA10-4	
PP797304	PP797304.1	JX-CHN-CVA10-5	
PP797305	PP797305.1	JX-CHN-CVA10-6	
PP797306	PP797306.1	JX-CHN-CVA10-7	
PP797307	PP797307.1	JX-CHN-CVA10-8	
PP797308	PP797308.1	JX-CHN-CVA10-9	
PP858872	PP858872.1	3953_2022	
PP862403	PP862403.1	PP862403	
PP862404	PP862404.1	PP862404	
PP862405	PP862405.1	PP862405	
PP862406	PP862406.1	PP862406	
PP862407	PP862407.1	PP862407	
PP862408	PP862408.1	PP862408	
PP862409	PP862409.1	PP862409	
PP862410	PP862410.1	PP862410	
PP862411	PP862411.1	PP862411	
PP862412	PP862412.1	PP862412	
PP862413	PP862413.1	PP862413	
PP862414	PP862414.1	PP862414	
PP862415	PP862415.1	PP862415	
PP862416	PP862416.1	PP862416	
PP862417	PP862417.1	PP862417	
PP862418	PP862418.1	PP862418	
PP862419	PP862419.1	PP862419	
PP862420	PP862420.1	PP862420	
PP862421	PP862421.1	PP862421	
PP862422	PP862422.1	PP862422	
PP862423	PP862423.1	PP862423	
PP862424	PP862424.1	PP862424	
PP862425	PP862425.1	PP862425	
PP862426	PP862426.1	PP862426	
PP862427	PP862427.1	PP862427	
PP862428	PP862428.1	PP862428	
PP862429	PP862429.1	PP862429	
PP862430	PP862430.1	PP862430	
PP862431	PP862431.1	PP862431	
PP862432	PP862432.1	PP862432	
PP862433	PP862433.1	PP862433	
PP862434	PP862434.1	PP862434	
PP862435	PP862435.1	PP862435	
PP862436	PP862436.1	PP862436	
PP862437	PP862437.1	PP862437	
PP862438	PP862438.1	PP862438	
PP862439	PP862439.1	PP862439	
PP862440	PP862440.1	PP862440	
PP862441	PP862441.1	PP862441	
PP862442	PP862442.1	PP862442	
PP862443	PP862443.1	PP862443	
PP862444	PP862444.1	PP862444	
PP862445	PP862445.1	PP862445	
PP862446	PP862446.1	PP862446	
PP862447	PP862447.1	PP862447	
PP862448	PP862448.1	PP862448	
PP869709	PP869709.1	KM0006/CVA4/CHN/2020	
PP869710	PP869710.1	KM0018/CVA4/CHN/2020	
PP869711	PP869711.1	KM0047/CVA4/CHN/2020	
PP869712	PP869712.1	KM0060/CVA4/CHN/2020	
PP869713	PP869713.1	KM0075/CVA4/CHN/2020	
PP869714	PP869714.1	KM0101/CVA4/CHN/2020	
PP869715	PP869715.1	KM0128/CVA4/CHN/2020	
PP869716	PP869716.1	KM0139/CVA4/CHN/2020	
PP919643	PP919643.1	HN21-2023	
PQ059397	PQ059397.1	JN/YN/2020	
PQ119797	PQ119797.1	PQ119797	
PQ124017	PQ124017.1	A813/Hangzhou/CHN/2023	
PQ124018	PQ124018.1	B1193/Hangzhou/CHN/2023	
PQ356916	PQ356916.1	HX/YN/2020	
PQ379858	PQ379858.1	IRI-390-2023	
PQ379859	PQ379859.1	IRI-414-2023	
PQ786015	PQ786015.1	94KHV/RUS/2024	
PQ786024	PQ786024.1	114BUR/RUS/2024	
PQ786026	PQ786026.1	142KHV/RUS/2024	
PQ889343	PQ889343.1	CMR-ENV02-N18	
PQ889344	PQ889344.1	CMR-ENV09-N22	
PV567715	PV567715.1	SPb_11177/24EVI/Saratov/2025/RU	
PV567716	PV567716.1	SPb_10973/24EVI/Kostroma/2025/RU	
PV613760	PV613760.1	CVA10-linyi2337-SD-CHN-2023	
PV613761	PV613761.1	CVA10-linyi2323-SD-CHN-2023	
PV613762	PV613762.1	CVA10-linyi2306-SD-CHN-2023	
PV613763	PV613763.1	CVA10-linyi2304-SD-CHN-2023	
X87591	X87591.1	X87591	
